Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A792477,"AUSTIN 78758
(30.384311, -97.706726)",FALSE,4/11/2019,Cat,Domestic Shorthair Mix,Brown Tabby,Unknown,0 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792477
A792481,"3601 E 12TH
AUSTIN 78721
(30.277852, -97.694102)",TRUE,4/11/2019,Dog,German Shepherd Mix,Cream,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A792481
A792484,"3601 E 12TH
AUSTIN 78721
(30.277852, -97.694102)",TRUE,4/11/2019,Dog,German Shepherd Mix,Cream,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A792484
A792486,"2210 ONION CREEK
AUSTIN 78744",TRUE,4/11/2019,Dog,German Shepherd Mix,Black/Brown,Spayed Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792486
A792480,"7418 VINTAGE HILLS DRIVE
AUSTIN 78723
(30.319496, -97.666497)",FALSE,4/11/2019,Cat,Domestic Shorthair Mix,Orange Tabby,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792480
A792453,"1700 WEST PARMER
AUSTIN 78727
(30.412512, -97.688909)",TRUE,4/10/2019,Cat,Domestic Shorthair Mix,Black,Neutered Male,8 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792453
A792493,"TORO CANYON ROAD AUSTIN 78746
(30.293201, -97.80785)",TRUE,4/11/2019,Dog,Yorkshire Terrier/Miniature Schnauzer,Red/Black,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792493
A792494,"7014 ELROY ROAD78617
(30.158176, -97.642922)",TRUE,4/11/2019,Dog,Labrador Retriever Mix,Black/White,Intact Female,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792494
A792498,"5300 MC
CANDLESS AUSTIN 78756",FALSE,4/11/2019,Dog,Collie Rough Mix,Tricolor,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792498
A792499,"2002 NORTHRIDGE DRIVE
AUSTIN 78723
(30.310158, -97.690281)",FALSE,4/11/2019,Dog,Chihuahua Longhair Mix,Tan/White,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792499
A792501,"1156 WEST CESAR
CHAVEZ AUSTIN 78703",FALSE,4/11/2019,Cat,Domestic Shorthair Mix,Orange Tabby,Intact Male,7 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792501
A792502,"1156 WEST CESAR
CHAVEZ AUSTIN 78703",FALSE,4/11/2019,Cat,Domestic Shorthair Mix,Orange Tabby,Intact Male,7 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792502
A792503,"1156 WEST CESAR
CHAVEZ AUSTIN 78703",FALSE,4/11/2019,Cat,Domestic Shorthair Mix,Orange Tabby,Intact Male,7 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792503
A792504,"1156 WEST CESAR
CHAVEZ AUSTIN 78703",FALSE,4/11/2019,Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Female,7 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792504
A792505,"1156 WEST CESAR
CHAVEZ AUSTIN 78703",FALSE,4/11/2019,Cat,Domestic Shorthair Mix,Tan/White,Intact Female,7 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792505
A792524,"1430 FRONTIER VALLEY
AUSTIN 78741
(30.226736, -97.693319)",TRUE,4/11/2019,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A792524
A792500,"412 EAST WILLIAM
CANNON AUSTIN 78745",FALSE,4/11/2019,Cat,Domestic Shorthair Mix,Black,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A792500
A792487,"ANDERSON
AUSTIN 78757",FALSE,4/11/2019,Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792487
A792528,"11500 EL SALIDO PARKWAY
AUSTIN 78750
(30.455486, -97.819308)",FALSE,4/11/2019,Dog,Pit Bull Mix,Brown/White,Unknown,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A792528
A792532,"1601 E ANDERSON LN
AUSTIN 78752
(30.331232, -97.684107)",TRUE,4/11/2019,Cat,Domestic Shorthair Mix,Orange Tabby/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792532
A792533,"7500 S PLEASANT VALLEY RD
AUSTIN 78744
(30.169767, -97.754017)",FALSE,4/11/2019,Dog,Yorkshire Terrier Mix,Brown/Silver,Intact Male,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792533
A792531,"1600 EAST 13TH STREET
AUSTIN 78702
(30.274312, -97.723003)",TRUE,4/11/2019,Cat,Domestic Shorthair Mix,Black,Neutered Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A792531
